Transcript,Label,Predicted Emotion,Mapped Value,speaker_id
"We renamed Brenda, Lumber Janet.",1,Happy,1,937
I just- I mean I call people up and I tell them what I'm good at.,0,Neutral,0,937
Fine.,0,Neutral,0,937
"There's like mystery here, there's magic.  It's like a little bit of the unexplainable.  I just can't see how you're not interested.",0,Angry,3,937
You're not going like this.,3,Neutral,0,937
Oh.  Totally.,1,Neutral,0,937
"Snap, snap, snap.  You know you are like a little adder.",3,Angry,3,937
At the cemetery?,2,Neutral,0,937
Do you want me to go get some champagne?,0,Neutral,0,937
Is it a big cemetery?,0,Neutral,0,937
You did?,0,Neutral,0,937
"You are far too temperamental, try to control yourself.",3,Angry,3,937
Is there anything I can get you?  Do you want me to take care of anything for you or...?,0,Neutral,0,937
"God, I don't get it.  you know the first time we came here, you said it was the best night of your life?",0,Neutral,0,937
"Huh.  Are you cold?  Do you want my jacket?  No?  you know, we should have brought the blanket?  Our blanket.",0,Neutral,0,937
I'll send you lots of letters.,2,Neutral,0,937
Well maybe...maybe he just wanted to see her.,0,Neutral,0,937
"Okay, yeah.  I would imagine.",0,Neutral,0,937
"I'll have a little, I think.",0,Neutral,0,937
What's your name?,3,Neutral,0,937
"Hmm.  I noticed that, it's pretty. Big old white moon.",1,Neutral,0,937
Yeah.,0,Neutral,0,937
"It's weird.  Whenever I go back to town, I think of her.  I mean, it's like ... I mean we grew up together and she died when we were twenty one.  And yeah.  She had cancer, she had two brain tumors.",2,Sad,2,937
You have a business here.  What the hell is this?,3,Angry,3,937
Is this a joke?,3,Angry,3,937
With perfect poise.,1,Neutral,0,937
Oh.  I'm saving the environment. I'm riding this car because I- I want to.,3,Angry,3,937
Sure.  All right.  Okay.,0,Neutral,0,937
[LAUGHTER] Cat babies.,1,Angry,3,937
Fifty bucks. Mmhmm.,0,Neutral,0,937
Okay.,0,Neutral,0,937
I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],1,Happy,1,937
This is no time of year for Tunis.,0,Neutral,0,937
[BREATHING],1,Neutral,0,937
"On the contrary, a child of two can get violently drunk on only one glass of brandy.",3,Angry,3,937
You can't just toss off a thing like that because they weren't just men. You know?,2,Sad,2,937
He saw it.,0,Neutral,0,937
Yeah.  I know.,2,Neutral,0,937
Okay.  I'll do that.,3,Neutral,0,937
"If you're- if you're- if you're looking for a lawsuit, baby, you've found it.",3,Angry,3,937
How do you know why she waited?,0,Neutral,0,937
Yeah.,0,Neutral,0,937
...pick up anything?,0,Neutral,0,937
"I love you. Annie, I love you.",1,Happy,1,937
Okay.,0,Neutral,0,937
"Augie, I'm sorry.",2,Sad,2,937
So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone.  And-,2,Neutral,0,937
I'm just saying I have a friend that got a good job on it so I was just recommending it.,0,Neutral,0,937
This is a big night for these little guys.  It's like life's last orgy.,0,Neutral,0,937
"Um, actually, I don't know. I don't know. Oh really?",0,Neutral,0,937
Who do you think you are?,3,Angry,3,937
"I'm not sorry, no. But I'm...I can't stay.",0,Sad,2,937
"I am riding the bus, but by choice.",0,Neutral,0,937
"Oh, so they're like really old too, really old ones?",0,Neutral,0,937
I didn't say that.,2,Neutral,0,937
No. No,1,Neutral,0,937
"Amanda, listen, listen.",3,Angry,3,937
Do you understand who my husband is?,3,Angry,3,937
Well what's the problem?  Let me change it.,0,Angry,3,937
"On this, I would.",0,Neutral,0,937
Can I help you?,1,Neutral,0,937
Like you need another one of those.[LAUGHTER],1,Neutral,0,937
"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",1,Happy,1,937
Excuse me.,0,Neutral,0,937
"Yeah, sure.",0,Neutral,0,937
"No, no.",0,Neutral,0,937
"We just weren't in a good spot.  I'm telling you, this is a much better spot.  I have instincts for these things.",0,Neutral,0,937
Shut up.,3,Angry,3,937
Oh.  It's a woman's duty to allure the man.,3,Angry,3,937
What shall we do if they suddenly walk in on us.[LAUGHTER],1,Neutral,0,937
What am I going to do? Huh?,2,Neutral,0,937
"Yes I did, quite a lot.",3,Angry,3,937
"I don't see any record of it, and I-usually when I don't see a record of it, that means um-",0,Neutral,0,937
Yeah.  I heard.,0,Neutral,0,937
"Maybe if you were with someone else, too.",2,Neutral,0,937
"Well as a matter of fact, yes, that's perfectly true.",0,Neutral,0,937
"And then, you.  You've been kind of...",0,Neutral,0,937
And I want lots and lots and lots of pictures.,2,Neutral,0,937
I won't stand for any nonsense.,3,Angry,3,937
"No, no.  This is real.",0,Neutral,0,937
"It's when we were driving past that Knickerbocker Liquor Locker, you said, let's get some champagne.  I said no, time's a wasting or something like that.",0,Neutral,0,937
"For God- Grow up, Augie.  The fish are not going to arrive.",3,Angry,3,937
I don't know.  Isn't that-- that's all like escort services and things like that.,0,Neutral,0,937
Oh.  She was there?,0,Neutral,0,937
He was out here when it broke.,0,Neutral,0,937
"I used to go to cemeteries a lot before she died.  I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.",2,Sad,2,937
Yes.  Meaning just that.,1,Neutral,0,937
I'm not frustrated.,3,Neutral,0,937
I have to find sitters.,0,Neutral,0,937
No.  I am just making myself fascinating for you.,3,Neutral,0,937
"That's good.  Don't you have to like teach a class, too, when you do that?",0,Neutral,0,937
I went to see her headstone a week or two ago.,2,Neutral,0,937
Oh-Oh.  It's a gift.  You're-You're helping me out here?,3,Angry,3,937
How do you know he's even thinking about it?,0,Neutral,0,937
[LAUGHTER],1,Neutral,0,937
I'm cold.,2,Neutral,0,937
"You know, the airlines can not be held responsible for every bag of luggage that comes through here.",0,Neutral,0,937
Don't laugh at me.  I'm being serious.,1,Happy,1,937
"And I suppose you let him kiss you a good deal more than, too. Yes.  I suppose you guys had a riotous time, huh?  All out, no restraint at all.  Well, you never really had much anyhow.",3,Angry,3,937
Yeah.  But this..this moment on the beach is like the highlight of their little lives.  All that flopping around is laying eggs or what to do - spawning or mating or whatever.,0,Neutral,0,937
That's fair enough.,0,Neutral,0,937
[LAUGHTER],1,Neutral,0,937
How much did he win at the slot?,0,Neutral,0,937
"I brought- I brought Chuck with me. He went to Redlands, yeah, for the day.  We ran through the sprinklers.",0,Neutral,0,937
"And the last time before she died, I remember she couldn't really stand, umm...",2,Sad,2,937
Pretty much all.,2,Neutral,0,937
"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",3,Neutral,0,937
I don't think I'm anyone.,0,Neutral,0,937
Don't you guys have access to computers over there.,0,Neutral,0,937
"Okay.  So I am putting out the pets, getting the car out of the garage.",0,Neutral,0,937
Is there a problem?,0,Neutral,0,937
You went out of your way to torture me over Peter Burden.,0,Neutral,0,937
I think I mentioned once before that I've had three minute liquor glasses the whole evening long.  A child of two cannot get drunk on that.,3,Angry,3,937
He's like a manager for a theatre.,0,Neutral,0,937
You are cruising for a bruising.  You are in so much trouble.,3,Angry,3,937
You know.,0,Neutral,0,937
Well Vegas was awesome.,1,Neutral,0,937
So what do you think?,1,Neutral,0,937
No.,0,Neutral,0,937
"We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that.",0,Neutral,0,937
She needs a new name each state that we go into. [LAUGHTER],1,Happy,1,937
"I know.  It kind of went out of style, didn't it?",0,Neutral,0,937
